"Date","Funding","Account","Activity","Document","Description","Amount"
"01/08/2017","Grant (0)","Entrance Fee Competition (680)","General (00)","(2603)","Due to 41.1% members some Grant is withheld","-254.42"
"01/08/2017","Grant (0)","Entrance Fee Competition (680)","General (00)","(2603)","Original Budget 17-18","432.04"
"01/08/2017","Grant (0)","Instructors (735)","General (00)","(2603)","Original Budget 17-18","763.25"
"01/08/2017","Grant (0)","Instructors (735)","General (00)","(2603)","Due to 41.1% members some Grant is withheld","-449.47"
"14/10/2017","Grant (0)","Instructors (735)","General (00)","CF 41686 (73646)","First Aid Training (Required by Union)","-20.00"
"01/08/2017","Grant (0)","Travel Expenditure (895)","General (00)","(2603)","Due to 41.1% members some Grant is withheld","-136.93"
"01/08/2017","Grant (0)","Travel Expenditure (895)","General (00)","(2603)","Original Budget 17-18","232.53"
"01/08/2017","SGI (1)","Members Funds (225)","General (00)","(305909)","Opening Balance 2017/18","3,204.35"
"02/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1107 (308961)","Online Sales 20171002","16.67"
"03/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1110 (308962)","Online Sales 20171003","8.33"
"06/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1119 (308965)","Online Sales 20171006","8.33"
"08/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1125 (308967)","Online Sales 20171008","16.67"
"10/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1131 (309232)","Online Sales 20171010","8.33"
"12/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1137 (309386)","Online Sales 20171012","25.00"
"12/10/2017","SGI (1)","Sales General (520)","General (00)","ECOM  1137 (309386)","Online Sales 20171012","24.00"
"21/08/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  981 (306232)","Online Sales 20170821","5.71"
"30/08/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1008 (306683)","Online Sales 20170830","5.71"
"26/09/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1089 (307804)","Online Sales 20170926","5.71"
"28/09/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1095 (308029)","Online Sales 20170928","5.71"
"30/09/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1101 (308094)","Online Sales 20170930","5.71"
"02/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1107 (308961)","Online Sales 20171002","5.71"
"03/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1110 (308962)","Online Sales 20171003","17.14"
"05/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1116 (308964)","Online Sales 20171005","11.43"
"06/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1119 (308965)","Online Sales 20171006","17.14"
"07/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1122 (308966)","Online Sales 20171007","5.71"
"08/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1125 (308967)","Online Sales 20171008","34.29"
"09/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1128 (308968)","Online Sales 20171009","22.86"
"10/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1131 (309232)","Online Sales 20171010","11.43"
"11/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1134 (309385)","Online Sales 20171011","11.43"
"12/10/2017","SGI (1)","Subscriptions (570)","General (00)","ECOM  1137 (309386)","Online Sales 20171012","22.86"
"10/10/2017","SGI (1)","Consumables (640)","General (00)","CF  41463 (309236)","Pizza for social","-90.00"
"26/09/2017","SGI (1)","Goods for Resale (705)","General (00)","CF  40719 (307812)","Society T-shirts","-331.90"
"02/10/2017","SGI (1)","Hospitality (730)","General (00)","CF  41109 (308600)","Sweets for freshers' fair","-7.00"
"10/10/2017","SGI (1)","Instructors (735)","General (00)","CF  41465 (309237)","Payment for class instructors","-50.00"
"01/08/2017","SGI (1)","Members Funds (225)","Edinburgh Competition Feb '16 (21)","(305909)","Opening Balance 2017/18","-724.29"
"01/08/2017","SGI (1)","Members Funds (225)","Edinburgh Competition 2017 (22)","(305909)","Opening Balance 2017/18","-508.39"
"01/08/2017","Harlington (2)","Members Funds (225)","General (00)","(305910)","Opening Balance 2017/18","631.36"
"01/08/2017","ICTrust (3)","Members Funds (225)","General (00)","(305911)","Opening Balance 2017/18","1,160.00"
"01/08/2017","ICTrust (3)","Members Funds (225)","Edinburgh Competition Feb '16 (21)","(305911)","Opening Balance 2017/18","-798.80"
"01/08/2017","ICTrust (3)","Members Funds (225)","Edinburgh Competition 2017 (22)","(305911)","Opening Balance 2017/18","-360.10"
