"Date","Funding","Account","Activity","Document","Description","Amount"
"01/08/2013","Grant (0)","Grant Receivable (470)","General (00)","(2585)","Original Budget 13-14","845.00"
"02/12/2013","Grant (0)","Grant Receivable (470)","General (00)","(2594)","CSB Contigency Award","321.27"
"09/12/2013","Grant (0)","Entrance Fee Competition (680)","General (00)","CF  12170 (184642)","Entry fees for Get Down dance competition. £8 per","-102.00"
"14/04/2014","Grant (0)","Entrance Fee Competition (680)","General (00)","CF  14408 (192116)","entry fees to compete in Loughborough University D","-171.54"
"27/02/2014","Grant (0)","Equipment Purchase (685)","General (00)","CF  12162 (188763)","New speaker boombox sound system, essential to all","-332.73"
"03/03/2014","Grant (0)","Instructors (735)","General (00)","CF  13258 (189334)","Teacher fees for workshop held on 7/11/13. The wor","-160.00"
"03/03/2014","Grant (0)","Instructors (735)","General (00)","CF  13259 (189335)","Teacher fees for our regular classes held througho","-400.00"
"01/08/2013","SGI (1)","Members Funds (225)","General (00)","(166514)","Opening Balance 2013/14","4,097.70"
"14/07/2014","SGI (1)","Donations (430)","General (00)","IF  2059  118783 (196899)","Money contributed to the society from the dance cr","466.67"
"19/06/2014","SGI (1)","Goods & Services (450)","General (00)","118783  AB (195233)","Income Without Documentations","765.60"
"19/06/2014","SGI (1)","Goods & Services (450)","General (00)","118783  AB (195236)","Income Without Documentations(Reversal) - 195233","-765.60"
"19/06/2014","SGI (1)","Goods & Services (450)","General (00)","AB (195237)","Income Without Documentations","638.00"
"14/07/2014","SGI (1)","Goods & Services (450)","General (00)","IF  2059  118783 (196899)","Money collected from members to attend our classes","171.33"
"14/07/2014","SGI (1)","Goods & Services (450)","General (00)","AB  0 (197087)","Income Without Documentations(Reversal) - 195237","-638.00"
"03/09/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15572 (167342)","Online Sales 20130903","4.76"
"25/09/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15616 (168003)","Online Sales 20130925","4.76"
"27/09/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15620 (168005)","Online Sales 20130927","4.76"
"28/09/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15622 (168006)","Online Sales 20130928","4.76"
"01/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15628 (168172)","Online Sales 20131001","9.52"
"03/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15632 (168377)","Online Sales 20131003","4.76"
"04/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15634 (168378)","Online Sales 20131004","4.76"
"06/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15638 (168483)","Online Sales 20131006","4.76"
"07/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15640 (168485)","Online Sales 20131007","19.05"
"08/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15642 (168621)","Online Sales 20131008","9.52"
"09/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15644 (168887)","Online Sales 20131009","9.52"
"10/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15646 (168888)","Online Sales 20131010","4.76"
"12/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15650 (168890)","Online Sales 20131012","14.29"
"13/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15652 (168891)","Online Sales 20131013","14.29"
"14/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15657 (168964)","Online Sales 20131014","19.05"
"15/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15659 (168968)","Online Sales 20131015","14.29"
"16/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15661 (169001)","Online Sales 20131016","9.52"
"17/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15663 (169026)","Online Sales 20131017","4.76"
"19/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15667 (169079)","Online Sales 20131019","4.76"
"20/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15669 (169093)","Online Sales 20131020","4.76"
"21/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15671 (169094)","Online Sales 20131021","4.76"
"24/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15677 (169857)","Online Sales 20131024","4.76"
"25/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15679 (169858)","Online Sales 20131025","9.52"
"26/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15681 (169859)","Online Sales 20131026","9.52"
"27/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15683 (169860)","Online Sales 20131027","4.76"
"31/10/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15691 (169864)","Online Sales 20131031","4.76"
"02/11/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15695 (169926)","Online Sales 20131102","23.82"
"03/11/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15697 (169927)","Online Sales 20131103","4.76"
"04/11/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15699 (181826)","Online Sales 20131104","19.05"
"05/11/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15701 (181827)","Online Sales 20131105","4.76"
"07/11/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15705 (181829)","Online Sales 20131107","33.33"
"08/11/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15707 (181830)","Online Sales 20131108","4.76"
"09/11/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15709 (181831)","Online Sales 20131109","4.76"
"11/11/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15713 (181993)","Online Sales 20131111","4.76"
"12/11/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15715 (181994)","Online Sales 20131112","9.52"
"14/11/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15719 (182097)","Online Sales 20131114","9.52"
"15/11/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15721 (182232)","Online Sales 20131115","4.76"
"16/11/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15723 (182233)","Online Sales 20131116","9.52"
"18/11/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15727 (182235)","Online Sales 20131118","4.76"
"20/11/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15731 (182309)","Online Sales 20131120","4.76"
"21/11/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15733 (182430)","Online Sales 20131121","9.52"
"22/11/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15735 (182431)","Online Sales 20131122","4.76"
"23/11/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15737 (182432)","Online Sales 20131123","4.76"
"27/11/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15745 (182607)","Online Sales 20131127","4.76"
"28/11/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15747 (182608)","Online Sales 20131128","4.76"
"02/12/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15759 (183474)","Online Sales 20131202","14.29"
"04/12/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15792 (183476)","Online Sales 20131204","4.76"
"05/12/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15794 (183962)","Online Sales 20131205","4.76"
"06/12/2013","SGI (1)","Subscriptions (570)","General (00)","ECOM  15796 (183963)","Online Sales 20131206","4.76"
"16/01/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  15878 (186001)","Online Sales 20140116","4.76"
"18/01/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  15882 (186003)","Online Sales 20140118","4.76"
"25/01/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  15896 (186450)","Online Sales 20140125","9.52"
"28/01/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  15902 (186684)","Online Sales 20140128","4.76"
"29/01/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  15904 (186685)","Online Sales 20140129","4.76"
"05/02/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  15918 (187215)","Online Sales 20140205","4.76"
"16/02/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  15940 (188057)","Online Sales 20140216","4.76"
"25/02/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  15958 (188677)","Online Sales 20140225","9.52"
"27/02/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  15962 (188822)","Online Sales 20140227","4.76"
"12/03/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  15988 (189649)","Online Sales 20140312","4.76"
"25/03/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  16018 (190710)","Online Sales 20140325","4.76"
"06/05/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  16103 (192667)","Online Sales 20140506","4.76"
"07/11/2013","SGI (1)","Consumables (640)","General (00)","CF  11184 (182324)","£55.47 for the purchase of pizza as refreshments f","-55.47"
"14/04/2014","SGI (1)","Entrance Fee Competition (680)","General (00)","CF  14408 (192116)","Loughborough University Dance Competition 2014","-227.46"
"07/11/2013","SGI (1)","Equipment Purchase (685)","General (00)","CF  11184 (182324)","£10.49 for the purchase of a replacement power cab","-8.74"
