"Date","Funding","Account","Activity","Document","Description","Amount"
"01/08/2016","Grant (0)","Consumables (640)","General (00)","(2602)","Original Budget 16-17","11.30"
"14/10/2016","Grant (0)","Consumables (640)","General (00)","CF  33090 (271594)","Food for an after class pizza social","-10.63"
"01/08/2016","Grant (0)","Entrance Fee Conference (675)","General (00)","(2602)","Original Budget 16-17","19.05"
"01/08/2016","Grant (0)","Entrance Fee Competition (680)","General (00)","(2602)","Original Budget 16-17","408.61"
"01/12/2016","Grant (0)","Entrance Fee Competition (680)","General (00)","CF  34941 (276345)","Entrance fees and deposit for a dance competition","-245.00"
"30/01/2017","Grant (0)","Entrance Fee Competition (680)","General (00)","CF  36450 (280246)","Payment of entrance fees for a dance competition u","-19.05"
"01/08/2016","Grant (0)","Equipment Purchase (685)","General (00)","(2602)","Original Budget 16-17","113.00"
"26/01/2017","Grant (0)","Equipment Purchase (685)","General (00)","CF  36247 (279955)","Purchase of costumes for a dance competition","-65.00"
"16/02/2017","Grant (0)","Equipment Purchase (685)","General (00)","CF  37068 (294406)","Purchase of costumes for a competition using grant","-48.00"
"01/08/2016","Grant (0)","Ground Hire (710)","General (00)","(2602)","Original Budget 16-17","361.60"
"09/01/2017","Grant (0)","Hospitality (730)","General (00)","CF  35730 (278584)","Partial subsidy of food for a team social","-0.67"
"01/08/2016","Grant (0)","Instructors (735)","General (00)","(2602)","Original Budget 16-17","524.30"
"17/10/2016","Grant (0)","Instructors (735)","General (00)","CF  33193 (271853)","Paying for an instructor to teach class","-25.00"
"28/10/2016","Grant (0)","Instructors (735)","General (00)","CF  33760 (272814)","Payment of Samantha from Make me funky for a dance","-25.00"
"02/11/2016","Grant (0)","Instructors (735)","General (00)","CF  33940 (273888)","Paying an instructor for a class","-20.00"
"10/11/2016","Grant (0)","Instructors (735)","General (00)","CF  34147 (274212)","Payment for a dance class from an external instruc","-25.00"
"10/11/2016","Grant (0)","Instructors (735)","General (00)","CF  34183 (274214)","Payment for a dance class from an external instruc","-20.00"
"13/11/2016","Grant (0)","Instructors (735)","General (00)","CF  34337 (274282)","Payment of an external instructor for a dance clas","-20.00"
"23/11/2016","Grant (0)","Instructors (735)","General (00)","CF  34696 (275046)","Payment of an instructor for a dance class","-25.00"
"28/11/2016","Grant (0)","Instructors (735)","General (00)","CF  34872 (275396)","Payment of an external instructor for a dance clas","-20.00"
"28/11/2016","Grant (0)","Instructors (735)","General (00)","CF  34873 (275397)","Payment of an external instructor for a dance clas","-20.00"
"01/12/2016","Grant (0)","Instructors (735)","General (00)","CF  34961 (276346)","Payment of an external instructor for a dance clas","-25.00"
"14/12/2016","Grant (0)","Instructors (735)","General (00)","CF  35551 (277334)","Payment of an external instructor for a dance clas","-25.00"
"21/02/2017","Grant (0)","Instructors (735)","General (00)","CF  37248 (294775)","Payment of an external instructor for a dance clas","-25.00"
"21/02/2017","Grant (0)","Instructors (735)","General (00)","CF  37344 (294783)","Payment of an external instructor for a dance clas","-25.00"
"10/03/2017","Grant (0)","Instructors (735)","General (00)","CF  37932 (296354)","Payment of an external instructor for a dance clas","-20.00"
"17/03/2017","Grant (0)","Instructors (735)","General (00)","CF  37532 (297015)","Payment of external instructors for dance classes","-140.00"
"11/04/2017","Grant (0)","Instructors (735)","General (00)","CF  38839 (298962)","Payment of an external instructor for a dance clas","-20.00"
"23/05/2017","Grant (0)","Instructors (735)","General (00)","CF  39363 (300888)","Payment of an external instructor for a dance clas","-25.00"
