"Date","Funding","Account","Activity","Document","Description","Amount"
"30/06/2016","Grant (0)","Grant Receivable (470)","General (00)","JD (254055)","ADF June 2016","280.00"
"01/08/2015","Grant (0)","Entrance Fee Competition (680)","General (00)","(2600)","Original Budget 15-16","161.00"
"06/01/2016","Grant (0)","Entrance Fee Competition (680)","General (00)","IC  4672 (243077)","Edinburgh Competition Entry Fees (28) (grant)","-161.00"
"01/08/2015","Grant (0)","Equipment Purchase (685)","General (00)","(2600)","Original Budget 15-16","92.90"
"20/04/2016","Grant (0)","Equipment Purchase (685)","General (00)","CF  29356 (249102)","Costume purchase","-92.90"
"11/07/2016","Grant (0)","Equipment Purchase (685)","General (00)","CF  31874 (254336)","Purchase of new boombox","-280.00"
"01/08/2015","Grant (0)","Instructors (735)","General (00)","(2600)","Original Budget 15-16","752.10"
"01/02/2016","Grant (0)","Instructors (735)","General (00)","CF  27492 (243945)","Hiphop teacher payment 30.01.16","-20.00"
"03/03/2016","Grant (0)","Instructors (735)","General (00)","CF  28132 (246195)","Instructor fee Foundation 31 Jan","-25.00"
"03/03/2016","Grant (0)","Instructors (735)","General (00)","CF  28134 (246196)","Instructor fees Foundation 07 Feb","-25.00"
"03/03/2016","Grant (0)","Instructors (735)","General (00)","CF  28135 (246197)","Instructor fees Foundation 21 Feb","-25.00"
"09/03/2016","Grant (0)","Instructors (735)","General (00)","CF  28550 (246428)","Instructor fees Foundation 06.03.16","-25.00"
"22/03/2016","Grant (0)","Instructors (735)","General (00)","CF  28831 (247309)","Instructors: foundation 13/03","-25.00"
"22/03/2016","Grant (0)","Instructors (735)","General (00)","CJ  3331 (247591)","Instructor fees Autumn term","-590.00"
"18/06/2016","Grant (0)","Instructors (735)","General (00)","CF  31296 (252611)","Instructor fees 30/05/16","-17.10"
"01/08/2015","Grant (0)","Travel Expenditure (895)","General (00)","(2600)","Original Budget 15-16","53.06"
"22/03/2016","Grant (0)","Travel Expenditure (895)","General (00)","CJ  3329 (247590)","Minibus Hire Grant","-53.06"
"01/08/2015","SGI (1)","Members Funds (225)","General (00)","(231831)","Opening Balance 2015/16","2,851.31"
"13/01/2016","SGI (1)","Goods & Services (450)","General (00)","IF  2719  118784 (243361)","part 1 Autumn term Class income","1,259.15"
"30/06/2016","SGI (1)","Goods & Services (450)","General (00)","IF  2874  118785 (253804)","Spring term class donations","489.45"
"13/01/2016","SGI (1)","Sales General (520)","General (00)","2719  0 (243792)","Income Form 2719","0.35"
"13/01/2016","SGI (1)","Sales General (520)","General (00)","IF  2719  118784 (243361)","White t-shirt sale (1 nos.)","8.33"
"13/01/2016","SGI (1)","Sales General (520)","General (00)","IF  2719  118784 (243361)","Novice t-shirt payment","70.84"
"13/08/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17061 (231844)","Online Sales 20150813","4.76"
"20/08/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17075 (232467)","Online Sales 20150820","4.76"
"02/09/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17101 (232592)","Online Sales 20150902","4.76"
"14/09/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17126 (233393)","Online Sales 20150914","4.76"
"15/09/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17128 (233394)","Online Sales 20150915","4.76"
"21/09/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17140 (233621)","Online Sales 20150921","4.76"
"22/09/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17142 (233622)","Online Sales 20150922","9.52"
"23/09/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17144 (233623)","Online Sales 20150923","9.52"
"04/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17166 (234130)","Online Sales 20151004","4.76"
"06/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17170 (234290)","Online Sales 20151006","4.76"
"07/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17172 (234710)","Online Sales 20151007","4.76"
"08/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17174 (234711)","Online Sales 20151008","9.52"
"09/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17176 (234712)","Online Sales 20151009","4.76"
"10/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17178 (234713)","Online Sales 20151010","9.52"
"12/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17182 (234717)","Online Sales 20151012","4.76"
"13/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17184 (235191)","Online Sales 20151013","14.29"
"14/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17186 (235192)","Online Sales 20151014","4.76"
"16/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17190 (235249)","Online Sales 20151016","4.76"
"17/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17192 (235250)","Online Sales 20151017","19.05"
"18/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17194 (235251)","Online Sales 20151018","4.76"
"19/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17196 (235470)","Online Sales 20151019","9.52"
"20/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17198 (235471)","Online Sales 20151020","9.52"
"21/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17200 (235472)","Online Sales 20151021","9.52"
"22/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17202 (236370)","Online Sales 20151022","4.76"
"23/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17204 (236375)","Online Sales 20151023","4.76"
"24/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17206 (236376)","Online Sales 20151024","4.76"
"25/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17208 (236377)","Online Sales 20151025","4.76"
"26/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17210 (236379)","Online Sales 20151026","4.76"
"27/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17212 (236380)","Online Sales 20151027","9.52"
"29/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17216 (236385)","Online Sales 20151029","4.76"
"30/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17218 (236387)","Online Sales 20151030","14.29"
"31/10/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17220 (236389)","Online Sales 20151031","14.29"
"01/11/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17222 (236391)","Online Sales 20151101","61.90"
"02/11/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17224 (236672)","Online Sales 20151102","57.14"
"03/11/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17226 (236673)","Online Sales 20151103","19.05"
"04/11/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17228 (236989)","Online Sales 20151104","14.29"
"05/11/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17230 (236990)","Online Sales 20151105","4.76"
"06/11/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17232 (237027)","Online Sales 20151106","4.76"
"07/11/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17234 (237028)","Online Sales 20151107","14.29"
"08/11/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17236 (237029)","Online Sales 20151108","9.52"
"09/11/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17238 (237030)","Online Sales 20151109","19.05"
"11/11/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17242 (237315)","Online Sales 20151111","4.76"
"13/11/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17246 (237709)","Online Sales 20151113","14.29"
"14/11/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17248 (237710)","Online Sales 20151114","9.52"
"15/11/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17250 (237711)","Online Sales 20151115","23.81"
"16/11/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17252 (238415)","Online Sales 20151116","4.76"
"19/11/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17258 (238418)","Online Sales 20151119","4.76"
"21/11/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17262 (238420)","Online Sales 20151121","4.76"
"22/11/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17264 (238537)","Online Sales 20151122","4.76"
"26/11/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17272 (238955)","Online Sales 20151126","4.76"
"29/11/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17278 (238958)","Online Sales 20151129","9.52"
"04/12/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17290 (239788)","Online Sales 20151204","4.76"
"06/12/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17294 (239790)","Online Sales 20151206","9.52"
"07/12/2015","SGI (1)","Subscriptions (570)","General (00)","ECOM  17296 (239791)","Online Sales 20151207","9.52"
"05/01/2016","SGI (1)","Subscriptions (570)","General (00)","ECOM  17354 (241501)","Online Sales 20160105","4.76"
"23/01/2016","SGI (1)","Subscriptions (570)","General (00)","ECOM  17390 (243002)","Online Sales 20160123","4.76"
"24/01/2016","SGI (1)","Subscriptions (570)","General (00)","ECOM  17392 (243003)","Online Sales 20160124","4.76"
"29/01/2016","SGI (1)","Subscriptions (570)","General (00)","ECOM  17402 (243241)","Online Sales 20160129","4.76"
"07/02/2016","SGI (1)","Subscriptions (570)","General (00)","ECOM  17420 (244817)","Online Sales 20160207","4.76"
"22/02/2016","SGI (1)","Subscriptions (570)","General (00)","ECOM  17450 (245455)","Online Sales 20160222","4.76"
"23/02/2016","SGI (1)","Subscriptions (570)","General (00)","ECOM  17452 (245456)","Online Sales 20160223","4.76"
"09/03/2016","SGI (1)","Subscriptions (570)","General (00)","ECOM  17486 (246524)","Online Sales 20160309","4.76"
"10/03/2016","SGI (1)","Subscriptions (570)","General (00)","ECOM  17489 (246525)","Online Sales 20160310","4.76"
"13/01/2016","SGI (1)","Ticket Income (580)","General (00)","IF  2719  118784 (243361)","Crew fee (16 people)","320.00"
"21/03/2016","SGI (1)","Travel Income (590)","General (00)","ECOM  17513 (247234)","Online Sales 20160321","167.00"
"22/03/2016","SGI (1)","Travel Income (590)","General (00)","RE  1205 (247469)","Edinburgh accommodation 4 ppl","-167.00"
"12/01/2016","SGI (1)","Consumables (640)","General (00)","CF  26988 (242061)","Society t-shirts","-546.84"
"23/11/2015","SGI (1)","Entrance Fee Competition (680)","General (00)","IC  4549 (239260)","Competition fees","40.00"
"06/01/2016","SGI (1)","Entrance Fee Competition (680)","General (00)","IC  4672 (243077)","Edinburgh Competition Entry Fees (28)","-315.00"
"09/01/2016","SGI (1)","Entrance Fee Competition (680)","General (00)","CF  26903 (242040)","RHUL Entry fees & non-refundable deposit","-176.00"
"13/01/2016","SGI (1)","Entrance Fee Competition (680)","General (00)","CF  26987 (242196)","UCL competition fees","-260.00"
"19/06/2016","SGI (1)","Entrance Fee Competition (680)","General (00)","CF  31274 (252648)","Loughborough entry fees","-405.00"
"20/04/2016","SGI (1)","Equipment Purchase (685)","General (00)","CF  29356 (249102)","Costume Purchase","-67.75"
"06/01/2016","SGI (1)","Ground Hire (710)","General (00)","IC  4672 (243077)","Edinburgh Accommodation (32)","-1,975.04"
"22/03/2016","SGI (1)","Ground Hire (710)","General (00)","RE  1204 (247470)","Edinburgh Accommodation","1,975.04"
"19/06/2016","SGI (1)","Ground Hire (710)","General (00)","CF  31273 (252646)","Ethos hire","-84.00"
"09/01/2016","SGI (1)","Hospitality (730)","General (00)","CF  25302 (242038)","Advanced team Pizza Social","-37.98"
"09/01/2016","SGI (1)","Hospitality (730)","General (00)","CF  26922 (242041)","Taster Class Pizza Social","-146.40"
"22/03/2016","SGI (1)","Hospitality (730)","General (00)","CF  29012 (247312)","AGM Pizza","-93.75"
"18/01/2016","SGI (1)","Instructors (735)","General (00)","CF  27149 (242416)","Some October instructor fees: 3 hiphop, 3 foundati","-135.00"
"18/01/2016","SGI (1)","Instructors (735)","General (00)","CF  27150 (242417)","2 November hiphop instructor fees","-40.00"
"18/01/2016","SGI (1)","Instructors (735)","General (00)","CF  27151 (242418)","November 8 foundation instructor fees","-200.00"
"18/01/2016","SGI (1)","Instructors (735)","General (00)","CF  27152 (242419)","December instructor fees 2 hiphop 1 foundation","-65.00"
"18/01/2016","SGI (1)","Instructors (735)","General (00)","CF  27153 (242420)","Christmas workshop instructor fees","-150.00"
"22/03/2016","SGI (1)","Instructors (735)","General (00)","CJ  3331 (247591)","Autumn term instructor fees","590.00"
"18/06/2016","SGI (1)","Instructors (735)","General (00)","CF  31296 (252611)","Instructor fees 30/05","-2.90"
"25/10/2015","SGI (1)","Publicity (825)","General (00)","CF  24430 (235965)","Freshers Publicity Banner","-15.42"
