"Date","Funding","Account","Activity","Document","Description","Amount"
"03/06/2015","Grant (0)","Entrance Fee Conference (675)","General (00)","CF  20598 (227958)","Part of Loughborough Dance Competition entry fee £","-44.03"
"01/08/2014","Grant (0)","Entrance Fee Competition (680)","General (00)","(2596)","Original Budget 14-15","258.00"
"11/02/2015","Grant (0)","Entrance Fee Competition (680)","General (00)","CF  18981 (220434)","RHUL competition entry fee","-165.00"
"01/08/2014","Grant (0)","Instructors (735)","General (00)","(2596)","Original Budget 14-15","749.60"
"30/10/2014","Grant (0)","Instructors (735)","General (00)","CF  16135 (201002)","Breaking Class","-60.00"
"10/11/2014","Grant (0)","Instructors (735)","General (00)","CF  16712 (203751)","Paying Breaking Instructor","-60.00"
"28/12/2014","Grant (0)","Instructors (735)","General (00)","CF  18043 (206278)","Christmas workshop teaching fees","-160.00"
"29/12/2014","Grant (0)","Instructors (735)","General (00)","CF  18044 (206279)","teaching fee","-19.99"
"29/12/2014","Grant (0)","Instructors (735)","General (00)","CF  18046 (206280)","teaching fee","-19.99"
"29/12/2014","Grant (0)","Instructors (735)","General (00)","CF  18047 (206281)","teaching fee","-19.99"
"29/12/2014","Grant (0)","Instructors (735)","General (00)","CF  18048 (206282)","teaching fee","-19.99"
"29/12/2014","Grant (0)","Instructors (735)","General (00)","CF  18049 (206283)","teaching fee","-19.99"
"29/12/2014","Grant (0)","Instructors (735)","General (00)","CF  18050 (206284)","teaching fee","-19.99"
"29/12/2014","Grant (0)","Instructors (735)","General (00)","CF  18051 (206285)","teaching fee","-19.99"
"29/12/2014","Grant (0)","Instructors (735)","General (00)","CF  18045 (206344)","teaching fee","-19.99"
"30/12/2014","Grant (0)","Instructors (735)","General (00)","CF  18052 (206355)","teaching fee","-19.99"
"30/12/2014","Grant (0)","Instructors (735)","General (00)","CF  18053 (206356)","teaching fee","-19.99"
"30/12/2014","Grant (0)","Instructors (735)","General (00)","CF  18054 (206357)","teaching fee","-19.99"
"30/12/2014","Grant (0)","Instructors (735)","General (00)","CF  18055 (206358)","teaching fee","-19.99"
"30/12/2014","Grant (0)","Instructors (735)","General (00)","CF  18056 (206359)","teaching fee","-19.99"
"30/12/2014","Grant (0)","Instructors (735)","General (00)","CF  18057 (206360)","teaching fee","-19.99"
"30/12/2014","Grant (0)","Instructors (735)","General (00)","CF  18058 (206361)","teaching fee","-19.99"
"10/02/2015","Grant (0)","Instructors (735)","General (00)","CF  18976 (220428)","teaching cost","-19.99"
"10/02/2015","Grant (0)","Instructors (735)","General (00)","CF  18978 (220429)","teaching cost","-19.99"
"10/02/2015","Grant (0)","Instructors (735)","General (00)","CF  18979 (220430)","teaching fee","-19.99"
"01/08/2014","Grant (0)","Travel Expenditure (895)","General (00)","(2596)","Original Budget 14-15","131.25"
"15/05/2015","Grant (0)","Travel Expenditure (895)","General (00)","CF  19789 (226773)","Travelling cost for Loughborough Competition","-290.00"
"01/08/2014","SGI (1)","Members Funds (225)","General (00)","(197157)","Opening Balance 2014/15","3,738.68"
"12/08/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  16307 (197218)","Online Sales 20140812","4.76"
"17/08/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  16317 (197223)","Online Sales 20140817","4.76"
"21/08/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  16325 (197305)","Online Sales 20140821","4.76"
"30/08/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  16343 (197530)","Online Sales 20140830","4.76"
"16/09/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  16377 (198579)","Online Sales 20140916","4.76"
"22/09/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  16393 (198825)","Online Sales 20140922","4.76"
"28/09/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  16406 (198831)","Online Sales 20140928","9.52"
"30/09/2014","SGI (1)","Subscriptions (570)","General (00)","ECOM  16410 (198919)","Online Sales 20140930","4.76"
