"Date","Funding","Account","Activity","Document","Description","Amount"
"13/02/2018","Grant (0)","Grant Receivable (470)","General (00)","JD (333718)","ADF Allocation","384.00"
"01/08/2017","Grant (0)","Entrance Fee Competition (680)","General (00)","(2603)","Original Budget 17-18","432.04"
"15/04/2018","Grant (0)","Equipment Purchase (685)","General (00)","CF  49725 (338765)","Costume for Loughborough Competition (jackets)","-138.00"
"19/06/2018","Grant (0)","Equipment Purchase (685)","General (00)","CJ  4602 (343532)","Novice Team Caps","-28.95"
"19/06/2018","Grant (0)","Equipment Purchase (685)","General (00)","CJ  4602 (343532)","Novice Team Shirts","-130.00"
"01/08/2017","Grant (0)","Instructors (735)","General (00)","(2603)","Original Budget 17-18","763.25"
"14/10/2017","Grant (0)","Instructors (735)","General (00)","CF  41686 (309645)","First Aid Training (Required by Union)","-20.00"
"19/06/2018","Grant (0)","Instructors (735)","General (00)","CJ  4603 (343533)","Payment for class instructorsPayment for class instructorsPayment for class instructors","-50.00"
"19/06/2018","Grant (0)","Instructors (735)","General (00)","CJ  4603 (343533)","Payment to Instructors","-50.00"
"19/06/2018","Grant (0)","Instructors (735)","General (00)","CJ  4603 (343533)","Instructor Fees","-50.00"
"19/06/2018","Grant (0)","Instructors (735)","General (00)","CJ  4603 (343533)","Payment to Make Me Funky","-50.00"
"19/06/2018","Grant (0)","Instructors (735)","General (00)","CJ  4603 (343533)","Foundation Instructor Fees","-50.00"
"19/06/2018","Grant (0)","Instructors (735)","General (00)","CJ  4603 (343533)","Instructor Fees","-20.00"
"19/06/2018","Grant (0)","Instructors (735)","General (00)","CJ  4603 (343533)","Instructor Fees","-50.00"
"19/06/2018","Grant (0)","Instructors (735)","General (00)","CJ  4603 (343533)","Instructor Fees","-20.00"
"19/06/2018","Grant (0)","Instructors (735)","General (00)","CJ  4603 (343533)","Instructor Fees","-30.00"
"30/12/2017","Grant (0)","Accommodation (790)","General (00)","PO 5021309 60585  HIL2022317 (316329)","AP Invoices - HAT1 (Hatters Hostels Limited)","-1,121.40"
"01/08/2017","Grant (0)","Travel Expenditure (895)","General (00)","(2603)","Original Budget 17-18","232.53"
"01/08/2017","SGI (1)","Members Funds (225)","General (00)","(305909)","Opening Balance 2017/18","3,204.35"
"10/11/2017","SGI (1)","Goods & Services (450)","General (00)","SI 610945  610945 (312964)","AR Invoice - ZRCM1 (Royal College of Music Student Union)","16.67"
"26/11/2017","SGI (1)","Goods & Services (450)","General (00)","ECOM  1272 (313610)","Online Sales 20171126","225.00"
